xflr5 v6.10.02

Wing name :        CamFlyerPlane
Wing polar name :  T1-10.6 m/s-VLM2
Freestream speed :  10.600 m/s


   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000  -0.377398   0.009485   0.030493   0.039978  -0.000000  -0.000000   0.064724  -0.000000   0.000000   10.6000     0.1643
   -4.500  -0.344115   0.007884   0.026223   0.034107  -0.000000  -0.000000   0.061303   0.000000   0.000000   10.6000     0.1656
   -4.000  -0.310735   0.006429   0.024983   0.031412  -0.000000  -0.000000   0.057875   0.000000   0.000000   10.6000     0.1672
   -3.500  -0.277266   0.005120   0.023999   0.029119  -0.000000  -0.000000   0.054437   0.000000   0.000000   10.6000     0.1692
   -3.000  -0.243720   0.003958   0.023055   0.027013  -0.000000  -0.000000   0.050992   0.000000   0.000000   10.6000     0.1718
   -2.500  -0.210107   0.002946   0.022230   0.025175  -0.000000  -0.000000   0.047539   0.000000   0.000000   10.6000     0.1752
   -2.000  -0.176436   0.002082   0.021530   0.023611  -0.000000  -0.000000   0.044078   0.000000   0.000000   10.6000     0.1800
   -1.500  -0.142720   0.001367   0.020866   0.022233  -0.000000  -0.000000   0.040611   0.000000   0.000000   10.6000     0.1872
   -1.000  -0.108967   0.000803   0.020147   0.020950  -0.000000  -0.000000   0.037140   0.000000   0.000000   10.6000     0.1988
   -0.500  -0.075189   0.000389   0.019310   0.019700  -0.000000  -0.000000   0.033667   0.000000   0.000000   10.6000     0.2209
    0.000  -0.041395   0.000126   0.019183   0.019309  -0.000000  -0.000000   0.030182   0.000000   0.000000   10.6000     0.2791
    0.500  -0.007597   0.000013   0.019192   0.019205  -0.000000   0.000000   0.026693   0.000000   0.000000   10.6000     0.8552
    1.000   0.026196   0.000051   0.019200   0.019251  -0.000000   0.000000   0.023203   0.000000   0.000000   10.6000    -0.0550
    1.500   0.059972   0.000239   0.019208   0.019447  -0.000000   0.000000   0.019712   0.000000   0.000000   10.6000     0.0603
    2.000   0.093722   0.000578   0.019216   0.019794  -0.000000   0.000000   0.016222   0.000000   0.000000   10.6000     0.0926
    2.500   0.127435   0.001066   0.019228   0.020294   0.000000   0.000000   0.012734   0.000000   0.000000   10.6000     0.1077
    3.000   0.161100   0.001704   0.019251   0.020954   0.000000   0.000000   0.009248   0.000000   0.000000   10.6000     0.1166
    3.500   0.194707   0.002490   0.019277   0.021767   0.000000   0.000000   0.005766   0.000000   0.000000   10.6000     0.1224
    4.000   0.228246   0.003425   0.019278   0.022703   0.000000   0.000000   0.002289   0.000000   0.000000   10.6000     0.1266
    4.500   0.261707   0.004507   0.019270   0.023776   0.000000   0.000000  -0.001183  -0.000000  -0.000000   10.6000     0.1297
    5.000   0.295079   0.005735   0.019266   0.025001   0.000000   0.000000  -0.004648  -0.000000  -0.000000   10.6000     0.1321
    5.500   0.328352   0.007109   0.019263   0.026371   0.000000   0.000000  -0.008105  -0.000000  -0.000000   10.6000     0.1341
    6.000   0.361516   0.008626   0.019282   0.027908   0.000000   0.000000  -0.011554  -0.000000  -0.000000   10.6000     0.1357
    6.500   0.394561   0.010287   0.019316   0.029603   0.000000   0.000000  -0.014993  -0.000000  -0.000000   10.6000     0.1371
    7.000   0.427476   0.012089   0.019359   0.031447   0.000000   0.000000  -0.018421  -0.000000  -0.000000   10.6000     0.1384
    7.500   0.460253   0.014030   0.019424   0.033454   0.000000   0.000000  -0.021837  -0.000000  -0.000000   10.6000     0.1394
    8.000   0.492881   0.016111   0.019493   0.035604   0.000000   0.000000  -0.025241  -0.000000  -0.000000   10.6000     0.1404
    8.500   0.525350   0.018328   0.019572   0.037900   0.000000   0.000000  -0.028631  -0.000000  -0.000000   10.6000     0.1413
    9.000   0.557650   0.020680   0.019678   0.040358   0.000000   0.000000  -0.032005  -0.000000  -0.000000   10.6000     0.1421
    9.500   0.589773   0.023165   0.019777   0.042942   0.000000   0.000000  -0.035364  -0.000000  -0.000000   10.6000     0.1428
   10.000   0.621709   0.025781   0.019859   0.045640   0.000000   0.000000  -0.038705  -0.000000  -0.000000   10.6000     0.1435


