xflr5 v6.10.02

Wing name :        CamFlyerPlane
Wing polar name :  T5-a4.3°-10.6m/s-VLM2

   alpha      CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    4.300   0.248387   0.004232   0.019277   0.023509   0.012546   0.005175   0.001397  -0.002191  -0.002185   10.6000     0.1285
    4.300   0.248458   0.004168   0.019276   0.023445   0.010452   0.004309   0.001374  -0.001828  -0.001822   10.6000     0.1284
    4.300   0.248516   0.004117   0.019276   0.023392   0.008359   0.003445   0.001355  -0.001463  -0.001459   10.6000     0.1284
    4.300   0.248561   0.004077   0.019275   0.023352   0.006268   0.002582   0.001341  -0.001098  -0.001094   10.6000     0.1283
    4.300   0.248593   0.004048   0.019275   0.023323   0.004178   0.001721   0.001331  -0.000732  -0.000730   10.6000     0.1283
    4.300   0.248612   0.004031   0.019274   0.023305   0.002089   0.000860   0.001325  -0.000366  -0.000365   10.6000     0.1283
    4.300   0.248618   0.004025   0.019274   0.023300   0.000000   0.000000   0.001323   0.000000   0.000000   10.6000     0.1283
    4.300   0.248612   0.004031   0.019274   0.023305  -0.002089  -0.000860   0.001325   0.000366   0.000365   10.6000     0.1283
    4.300   0.248593   0.004048   0.019275   0.023323  -0.004178  -0.001721   0.001331   0.000732   0.000730   10.6000     0.1283
    4.300   0.248561   0.004077   0.019275   0.023352  -0.006268  -0.002582   0.001341   0.001098   0.001094   10.6000     0.1283
    4.300   0.248516   0.004117   0.019276   0.023392  -0.008359  -0.003445   0.001355   0.001463   0.001459   10.6000     0.1284
    4.300   0.248458   0.004168   0.019276   0.023445  -0.010452  -0.004309   0.001374   0.001828   0.001822   10.6000     0.1284
    4.300   0.248387   0.004232   0.019277   0.023509  -0.012546  -0.005175   0.001397   0.002191   0.002185   10.6000     0.1285


